Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
[SINCRONICO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 1,08/24/2026,10:00,08/24/2026,12:00,False,Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 1 de 13 · Virtual sincrónica | Tema: Introducción a arquitecturas cloud (+ diagnóstico) | Material docente: Clase 1 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 2,08/31/2026,10:00,08/31/2026,12:00,False,Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 2 de 13 · Virtual sincrónica | Tema: Modelos de servicio IaaS / PaaS / SaaS | Material docente: Clase 2 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 3,09/07/2026,10:00,09/07/2026,12:00,False,Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 3 de 13 · Virtual sincrónica | Tema: Virtualización y contenedores | Material docente: Clase 3 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 4,09/14/2026,10:00,09/14/2026,12:00,False,Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 4 de 13 · Virtual sincrónica | Tema: Microservicios y arquitecturas distribuidas | Material docente: Clase 4 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 5 · Parcial 1,09/21/2026,10:00,09/21/2026,12:00,False,Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 5 de 13 · Virtual sincrónica | Tema: PARCIAL 1 (solo evaluación) | Material docente: Clase 5 | Día de parcial = solo evaluación (virtual síncrono). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 6,09/28/2026,10:00,09/28/2026,12:00,False,Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 6 de 13 · Virtual sincrónica | Tema: Seguridad en la nube | Material docente: Clase 6 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 7,10/05/2026,10:00,10/05/2026,12:00,False,"Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 7 de 13 · Virtual sincrónica | Tema: Redes y almacenamiento cloud + Monitoreo, optimización y CI/CD | Material docente: Clase 7 + Clase 8 (sesión doble) | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co",Google Meet (virtual),True
[AUTONOMO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 8,10/12/2026,10:00,10/12/2026,12:00,False,"Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 8 de 13 · Autónoma (festivo) | Tema: Costos y sostenibilidad cloud | Material docente: Clase 10 | Festivo: Día de la Diversidad Étnica y Cultural | Clase autónoma: trabajo independiente guiado, sin encuentro sincrónico. | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co",Trabajo autónomo (sin encuentro),True
[SINCRONICO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 9 · Parcial 2,10/19/2026,10:00,10/19/2026,12:00,False,Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 9 de 13 · Virtual sincrónica | Tema: PARCIAL 2 (solo evaluación) | Material docente: Clase 9 | Día de parcial = solo evaluación (virtual síncrono). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 10,10/26/2026,10:00,10/26/2026,12:00,False,Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 10 de 13 · Virtual sincrónica | Tema: Avance del proyecto final + Pruebas de rendimiento y preparación final | Material docente: Clase 11 + Clase 12 (sesión doble) | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[AUTONOMO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 11,11/02/2026,10:00,11/02/2026,12:00,False,"Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 11 de 13 · Autónoma (festivo) | Tema: Escalabilidad automática | Material docente: Clase 13 | Festivo: Todos los Santos | Clase autónoma: trabajo independiente guiado, sin encuentro sincrónico. | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co",Trabajo autónomo (sin encuentro),True
[SINCRONICO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 12 · Parcial 3,11/09/2026,10:00,11/09/2026,12:00,False,Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 12 de 13 · Virtual sincrónica | Tema: PARCIAL 3 (solo evaluación) | Material docente: Clase 14 | Día de parcial = solo evaluación (virtual síncrono). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 6303C - Arquitectura de Sistemas Computacionales - Sesión 13 · Sustentaciones PI,11/16/2026,10:00,11/16/2026,12:00,False,Arquitectura de Sistemas Computacionales (FI303380) · grupo 6303C | Sesión 13 de 13 · Sustentaciones del Proyecto Integrador | Tema: Presentación del proyecto y cierre (sustentaciones PI) | Material docente: Clase 15 | Festivo: Independencia de Cartagena | Sustentación del Proyecto Integrador (no es parcial). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
