Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
[SINCRONICO] 641A-2 - Bases de Datos II - Sesión 1,08/24/2026,18:00,08/24/2026,20:00,False,Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 1 de 13 · Virtual sincrónica | Tema: Diagnóstico · Revisión de Bases de Datos I (VetCare) | Material docente: Clase 1 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 641A-2 - Bases de Datos II - Sesión 2,08/31/2026,18:00,08/31/2026,20:00,False,Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 2 de 13 · Virtual sincrónica | Tema: Administración de bases de datos | Material docente: Clase 2 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 641A-2 - Bases de Datos II - Sesión 3,09/07/2026,18:00,09/07/2026,20:00,False,Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 3 de 13 · Virtual sincrónica | Tema: Procedimientos almacenados | Material docente: Clase 3 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 641A-2 - Bases de Datos II - Sesión 4,09/14/2026,18:00,09/14/2026,20:00,False,Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 4 de 13 · Virtual sincrónica | Tema: Funciones y disparadores · Seguridad y respaldo | Material docente: Clase 4 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 641A-2 - Bases de Datos II - Sesión 5 · Parcial 1,09/21/2026,18:00,09/21/2026,20:00,False,Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 5 de 13 · Virtual sincrónica | Tema: PARCIAL 1 (solo evaluación) | Material docente: Clase 5 | Día de parcial = solo evaluación (virtual síncrono). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 641A-2 - Bases de Datos II - Sesión 6,09/28/2026,18:00,09/28/2026,20:00,False,Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 6 de 13 · Virtual sincrónica | Tema: Optimización de consultas | Material docente: Clase 6 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 641A-2 - Bases de Datos II - Sesión 7,10/05/2026,18:00,10/05/2026,20:00,False,Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 7 de 13 · Virtual sincrónica | Tema: Índices y particionamiento + Tuning y gestión de transacciones | Material docente: Clase 7 + Clase 8 (sesión doble) | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[AUTONOMO] 641A-2 - Bases de Datos II - Sesión 8,10/12/2026,18:00,10/12/2026,20:00,False,"Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 8 de 13 · Autónoma (festivo) | Tema: Control de concurrencia | Material docente: Clase 10 | Festivo: Día de la Diversidad Étnica y Cultural | Clase autónoma: trabajo independiente guiado, sin encuentro sincrónico. | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co",Trabajo autónomo (sin encuentro),True
[SINCRONICO] 641A-2 - Bases de Datos II - Sesión 9 · Parcial 2,10/19/2026,18:00,10/19/2026,20:00,False,Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 9 de 13 · Virtual sincrónica | Tema: PARCIAL 2 (solo evaluación) | Material docente: Clase 9 | Día de parcial = solo evaluación (virtual síncrono). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 641A-2 - Bases de Datos II - Sesión 10,10/26/2026,18:00,10/26/2026,20:00,False,Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 10 de 13 · Virtual sincrónica | Tema: Avance del proyecto final + Integración de apps externas y preparación final | Material docente: Clase 11 + Clase 12 (sesión doble) | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[AUTONOMO] 641A-2 - Bases de Datos II - Sesión 11,11/02/2026,18:00,11/02/2026,20:00,False,"Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 11 de 13 · Autónoma (festivo) | Tema: Análisis de casos reales | Material docente: Clase 13 | Festivo: Todos los Santos | Clase autónoma: trabajo independiente guiado, sin encuentro sincrónico. | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co",Trabajo autónomo (sin encuentro),True
[SINCRONICO] 641A-2 - Bases de Datos II - Sesión 12 · Parcial 3,11/09/2026,18:00,11/09/2026,20:00,False,Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 12 de 13 · Virtual sincrónica | Tema: PARCIAL 3 (solo evaluación) | Material docente: Clase 14 | Día de parcial = solo evaluación (virtual síncrono). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] 641A-2 - Bases de Datos II - Sesión 13 · Sustentaciones PI,11/16/2026,18:00,11/16/2026,20:00,False,Bases de Datos II (FI303215) · grupo 641A-2 | Sesión 13 de 13 · Sustentaciones del Proyecto Integrador | Tema: Presentación del proyecto y cierre (sustentaciones PI) | Material docente: Clase 15 | Festivo: Independencia de Cartagena | Sustentación del Proyecto Integrador (no es parcial). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
