Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
[SINCRONICO] Sesión 1 · Introducción a la Ingeniería · SB141C,09/01/2026,14:30,09/01/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141C | Sesión 1 de 16 · Virtual sincrónica | Tema: Presentación del curso y diagnóstico inicial | Material docente: Clase 1 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 2 · Introducción a la Ingeniería · SB141C,09/08/2026,14:30,09/08/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141C | Sesión 2 de 16 · Virtual sincrónica | Tema: Historia y evolución de la Ingeniería | Material docente: Clase 2 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 3 · Introducción a la Ingeniería · SB141C,09/15/2026,14:30,09/15/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141C | Sesión 3 de 16 · Virtual sincrónica | Tema: Fundamentos básicos de la Ingeniería de Sistemas | Material docente: Clase 3 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 4 · Introducción a la Ingeniería · SB141C,09/22/2026,14:30,09/22/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141C | Sesión 4 de 16 · Virtual sincrónica | Tema: Principios éticos en la Ingeniería | Material docente: Clase 4 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 5 · Introducción a la Ingeniería · SB141C,09/29/2026,14:30,09/29/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141C | Sesión 5 de 16 · Virtual sincrónica | Tema: El rol del ingeniero en el contexto ambiental | Material docente: Clase 5 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 6 · Introducción a la Ingeniería · SB141C,10/06/2026,14:30,10/06/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141C | Sesión 6 de 16 · Virtual sincrónica | Tema: Análisis de problemas tecnológicos del entorno | Material docente: Clase 6 | Cierra el Corte 1 (30%): Análisis de problemas tecnológicos del entorno (primer corte evaluativo). | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 7 · Introducción a la Ingeniería · SB141C,10/13/2026,14:30,10/13/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141C | Sesión 7 de 16 · Virtual sincrónica | Tema: Ciclo de vida de los proyectos de ingeniería | Material docente: Clase 7 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 8 · Introducción a la Ingeniería · SB141C,10/20/2026,14:30,10/20/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141C | Sesión 8 de 16 · Virtual sincrónica | Tema: Taller de aplicación del ciclo de vida | Material docente: Clase 8 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 9 · Introducción a la Ingeniería · SB141C,10/27/2026,14:30,10/27/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141C | Sesión 9 de 16 · Virtual sincrónica | Tema: Estrategias de innovación en Ingeniería | Material docente: Clase 9 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
[SINCRONICO] Sesión 10 · Introducción a la Ingeniería · SB141C,11/03/2026,14:30,11/03/2026,16:00,False,Introducción a la Ingeniería (FI300101) · grupo SB141C | Sesión 10 de 16 · Virtual sincrónica | Tema: Herramientas digitales aplicadas a la Ingeniería | Material docente: Clase 10 | Docente: Julian Andres Castaño Espinosa · julianacastano@profesores.uniajc.edu.co,Google Meet (virtual),True
