curso,codigo_fi,grupo,clase_n,fecha,dia,hora_inicio,hora_fin,tipo_clase,es_parcial,parcial_n,sesion_etiqueta,tema,notas
Programación II,FI303204,341C,1,2026-08-12,Miércoles,18:00,20:00,presencial,no,,Clase 1,Presentación del curso · Introducción a POO,pendiente listado
Programación II,FI303204,341C,2,2026-08-19,Miércoles,18:00,20:00,virtual,no,,Clase 2,Colecciones dinámicas ArrayList,pendiente listado
Programación II,FI303204,341C,3,2026-08-26,Miércoles,18:00,20:00,virtual,no,,Clase 3,Pilas y colas,pendiente listado
Programación II,FI303204,341C,4,2026-09-02,Miércoles,18:00,20:00,virtual,no,,Clase 4,Mapas y conjuntos,pendiente listado
Programación II,FI303204,341C,5,2026-09-09,Miércoles,18:00,20:00,presencial,si,1,Clase 5 · Parcial 1,Interfaces gráficas GUI ·,parcial presencial sincrono; pendiente listado
Programación II,FI303204,341C,6,2026-09-16,Miércoles,18:00,20:00,virtual,no,,Clase 6,Eventos y controladores,pendiente listado
Programación II,FI303204,341C,7,2026-09-23,Miércoles,18:00,20:00,virtual,no,,Clase 7,Patrones de diseño,pendiente listado
Programación II,FI303204,341C,8,2026-09-30,Miércoles,18:00,20:00,virtual,no,,Clase 8,Documentación y QA,pendiente listado
Programación II,FI303204,341C,9,2026-10-07,Miércoles,18:00,20:00,virtual,no,,Clase 9,Refactorización con IA,pendiente listado
Programación II,FI303204,341C,10,2026-10-14,Miércoles,18:00,20:00,presencial,si,2,Clase 10 · Parcial 2,Persistencia de archivos ·,parcial presencial sincrono; pendiente listado
Programación II,FI303204,341C,11,2026-10-21,Miércoles,18:00,20:00,virtual,no,,Clase 11,Revisión de código cruzada,pendiente listado
Programación II,FI303204,341C,12,2026-10-28,Miércoles,18:00,20:00,virtual,no,,Clase 12,Integración de módulos,pendiente listado
Programación II,FI303204,341C,13,2026-11-04,Miércoles,18:00,20:00,virtual,no,,Clase 13,Control de excepciones,pendiente listado
Programación II,FI303204,341C,14,2026-11-11,Miércoles,18:00,20:00,virtual,no,,Clase 14,Preparación presentación final,pendiente listado
Programación II,FI303204,341C,15,2026-11-18,Miércoles,18:00,20:00,presencial,si,3,Clase 15 · Parcial 3,Evaluación de proyectos + cierre ·,parcial presencial sincrono; pendiente listado
