curso,codigo_fi,grupo,clase_n,fecha,dia,hora_inicio,hora_fin,tipo_clase,es_parcial,parcial_n,sesion_etiqueta,tema,notas
Arquitectura de Sistemas Computacionales,FI303380,6303C,1,2026-08-10,Lunes,10:00,12:00,presencial,no,,Clase 1,Presentación del curso · Diagnóstico · Introducción a arquitecturas cloud,[PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,2,2026-08-17,Lunes,10:00,12:00,autonoma,no,,Clase 2,Modelos de servicio: IaaS / PaaS / SaaS,festivo: Asunción de la Virgen; clase autonoma / refuerzo sin parcial; [PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,3,2026-08-24,Lunes,10:00,12:00,virtual,no,,Clase 3,Virtualización y contenedores,[PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,4,2026-08-31,Lunes,10:00,12:00,virtual,no,,Clase 4,Microservicios · Arquitecturas distribuidas,[PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,5,2026-09-07,Lunes,10:00,12:00,presencial,si,1,Clase 5 · Parcial 1,Parcial 1,parcial presencial sincrono; [PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,6,2026-09-14,Lunes,10:00,12:00,virtual,no,,Clase 6,Seguridad en la nube,[PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,7,2026-09-21,Lunes,10:00,12:00,virtual,no,,Clase 7,Redes y almacenamiento cloud,[PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,8,2026-09-28,Lunes,10:00,12:00,virtual,no,,Clase 8,Monitoreo y optimización · Integración continua y despliegue (CI/CD),[PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,9,2026-10-05,Lunes,10:00,12:00,presencial,si,2,Clase 9 · Parcial 2,Parcial 2,parcial presencial sincrono; [PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,10,2026-10-12,Lunes,10:00,12:00,autonoma,no,,Clase 10,Costos y sostenibilidad cloud,festivo: Día de la Diversidad Étnica y Cultural; clase autonoma / refuerzo sin parcial; [PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,11,2026-10-19,Lunes,10:00,12:00,virtual,no,,Clase 11,Avance del proyecto final,[PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,12,2026-10-26,Lunes,10:00,12:00,virtual,no,,Clase 12,Pruebas de rendimiento · Preparación de presentación final,[PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,13,2026-11-02,Lunes,10:00,12:00,autonoma,no,,Clase 13,Escalabilidad automática (Todos los Santos),festivo: Todos los Santos; clase autonoma / refuerzo sin parcial; [PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,14,2026-11-09,Lunes,10:00,12:00,presencial,si,3,Clase 14 · Parcial 3,Parcial 3,parcial presencial sincrono; [PENDIENTE listado]
Arquitectura de Sistemas Computacionales,FI303380,6303C,15,2026-11-16,Lunes,10:00,12:00,autonoma,no,,Clase 15,Presentación del proyecto + cierre,festivo: Independencia de Cartagena; clase autonoma / refuerzo sin parcial; [PENDIENTE listado]
