curso,codigo_fi,grupo,clase_n,fecha,dia,hora_inicio,hora_fin,tipo_clase,es_parcial,parcial_n,sesion_etiqueta,tema,notas
Bases de Datos II,FI303215,641A-2,1,2026-08-10,Lunes,18:00,20:00,virtual,no,,Clase 1,Presentación del curso · Diagnóstico · Revisión de Bases de Datos I,[PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,2,2026-08-17,Lunes,18:00,20:00,autonoma,no,,Clase 2,Administración de bases de datos,festivo: Asunción de la Virgen; clase autonoma / refuerzo sin parcial; [PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,3,2026-08-24,Lunes,18:00,20:00,virtual,no,,Clase 3,Procedimientos almacenados,[PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,4,2026-08-31,Lunes,18:00,20:00,virtual,no,,Clase 4,Funciones y disparadores · Seguridad y respaldo,[PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,5,2026-09-07,Lunes,18:00,20:00,presencial,si,1,Clase 5 · Parcial 1,Parcial 1,parcial presencial sincrono; [PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,6,2026-09-14,Lunes,18:00,20:00,virtual,no,,Clase 6,Optimización de consultas,[PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,7,2026-09-21,Lunes,18:00,20:00,virtual,no,,Clase 7,Índices y particionamiento,[PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,8,2026-09-28,Lunes,18:00,20:00,virtual,no,,Clase 8,Tuning de bases de datos · Gestión de transacciones,[PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,9,2026-10-05,Lunes,18:00,20:00,presencial,si,2,Clase 9 · Parcial 2,Parcial 2,parcial presencial sincrono; [PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,10,2026-10-12,Lunes,18:00,20:00,autonoma,no,,Clase 10,Control de concurrencia,festivo: Día de la Diversidad Étnica y Cultural; clase autonoma / refuerzo sin parcial; [PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,11,2026-10-19,Lunes,18:00,20:00,virtual,no,,Clase 11,Avance del proyecto final,[PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,12,2026-10-26,Lunes,18:00,20:00,virtual,no,,Clase 12,Integración de aplicaciones externas · Preparación de presentación final,[PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,13,2026-11-02,Lunes,18:00,20:00,autonoma,no,,Clase 13,Análisis de casos reales (Todos los Santos),festivo: Todos los Santos; clase autonoma / refuerzo sin parcial; [PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,14,2026-11-09,Lunes,18:00,20:00,presencial,si,3,Clase 14 · Parcial 3,Parcial 3,parcial presencial sincrono; [PENDIENTE listado]
Bases de Datos II,FI303215,641A-2,15,2026-11-16,Lunes,18:00,20:00,autonoma,no,,Clase 15,Presentación del proyecto + cierre,festivo: Independencia de Cartagena; clase autonoma / refuerzo sin parcial; [PENDIENTE listado]
