curso,codigo_fi,grupo,clase_n,fecha,dia,hora_inicio,hora_fin,tipo_clase,es_parcial,parcial_n,sesion_etiqueta,tema,notas
Programación II,FI303204,341C,1,2026-08-12,Miércoles,18:00,20:00,presencial,no,,Clase 1,Presentación del curso · Introducción a POO,[PENDIENTE listado]
Programación II,FI303204,341C,2,2026-08-19,Miércoles,18:00,20:00,virtual,no,,Clase 2,Colecciones dinámicas ArrayList,[PENDIENTE listado]
Programación II,FI303204,341C,3,2026-08-26,Miércoles,18:00,20:00,virtual,no,,Clase 3,Pilas y colas,[PENDIENTE listado]
Programación II,FI303204,341C,4,2026-09-02,Miércoles,18:00,20:00,virtual,no,,Clase 4,Mapas y conjuntos · Interfaces gráficas GUI,[PENDIENTE listado]
Programación II,FI303204,341C,5,2026-09-09,Miércoles,18:00,20:00,presencial,si,1,Clase 5 · Parcial 1,Parcial 1,parcial presencial sincrono; [PENDIENTE listado]
Programación II,FI303204,341C,6,2026-09-16,Miércoles,18:00,20:00,virtual,no,,Clase 6,Eventos y controladores,[PENDIENTE listado]
Programación II,FI303204,341C,7,2026-09-23,Miércoles,18:00,20:00,virtual,no,,Clase 7,Patrones de diseño,[PENDIENTE listado]
Programación II,FI303204,341C,8,2026-09-30,Miércoles,18:00,20:00,virtual,no,,Clase 8,Documentación y QA,[PENDIENTE listado]
Programación II,FI303204,341C,9,2026-10-07,Miércoles,18:00,20:00,virtual,no,,Clase 9,Refactorización con IA · Persistencia de archivos,[PENDIENTE listado]
Programación II,FI303204,341C,10,2026-10-14,Miércoles,18:00,20:00,presencial,si,2,Clase 10 · Parcial 2,Parcial 2,parcial presencial sincrono; [PENDIENTE listado]
Programación II,FI303204,341C,11,2026-10-21,Miércoles,18:00,20:00,virtual,no,,Clase 11,Revisión de código cruzada,[PENDIENTE listado]
Programación II,FI303204,341C,12,2026-10-28,Miércoles,18:00,20:00,virtual,no,,Clase 12,Integración de módulos,[PENDIENTE listado]
Programación II,FI303204,341C,13,2026-11-04,Miércoles,18:00,20:00,virtual,no,,Clase 13,Control de excepciones,[PENDIENTE listado]
Programación II,FI303204,341C,14,2026-11-11,Miércoles,18:00,20:00,virtual,no,,Clase 14,Preparación presentación final · Evaluación de proyectos + cierre,[PENDIENTE listado]
Programación II,FI303204,341C,15,2026-11-18,Miércoles,18:00,20:00,presencial,si,3,Clase 15 · Parcial 3,Parcial 3,parcial presencial sincrono; [PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,1,2026-08-13,Jueves,18:00,20:00,presencial,no,,Clase 1,Presentación del curso · Conceptos iniciales,[PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,2,2026-08-20,Jueves,18:00,20:00,virtual,no,,Clase 2,Ciclos de vida,[PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,3,2026-08-27,Jueves,18:00,20:00,virtual,no,,Clase 3,Metodologías tradicionales,[PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,4,2026-09-03,Jueves,18:00,20:00,virtual,no,,Clase 4,Metodologías ágiles,[PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,5,2026-09-10,Jueves,18:00,20:00,presencial,si,1,Clase 5 · Parcial 1,Parcial 1,parcial presencial sincrono; [PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,6,2026-09-17,Jueves,18:00,20:00,virtual,no,,Clase 6,Requerimientos de software,[PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,7,2026-09-24,Jueves,18:00,20:00,virtual,no,,Clase 7,Historias de usuario,[PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,8,2026-10-01,Jueves,18:00,20:00,virtual,no,,Clase 8,Introducción a UML,[PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,9,2026-10-08,Jueves,18:00,20:00,virtual,no,,Clase 9,Casos de uso,[PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,10,2026-10-15,Jueves,18:00,20:00,presencial,si,2,Clase 10 · Parcial 2,Parcial 2,parcial presencial sincrono; [PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,11,2026-10-22,Jueves,18:00,20:00,virtual,no,,Clase 11,Avance proyecto integrador,[PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,12,2026-10-29,Jueves,18:00,20:00,virtual,no,,Clase 12,Diagramas UML avanzados,[PENDIENTE listado]
Seminario de Sistemas,FI303301,341C,13,2026-11-05,Jueves,18:00,20:00,virtual,no,,Clase 13,Diseño de interfaces,[PENDIENTE listado]
